description;;population;start_date;end_date;location;zones;annee_scolaire;Vacances
Pont de l'Ascension;FERIE;-;2022-05-26T00:00:00+02:00;2022-05-28T00:00:00+02:00;Paris;Zone C;2021-2022;Vacances
Pont de l'Ascension;FERIE;-;2023-05-18T00:00:00+02:00;2023-05-22T00:00:00+02:00;Paris;Zone C;2022-2023;Vacances
Pont de l'Ascension;FERIE;-;2024-05-10T00:00:00+02:00;2024-05-11T00:00:00+02:00;Paris;Zone C;2023-2024;Vacances
Vacances de la Toussaint;;-;2021-10-23T00:00:00+02:00;2021-11-08T00:00:00+01:00;Paris;Zone C;2021-2022;Vacances
Vacances de la Toussaint;;-;2022-10-22T00:00:00+02:00;2022-11-07T00:00:00+01:00;Paris;Zone C;2022-2023;Vacances
Vacances de la Toussaint;;-;2023-10-21T00:00:00+02:00;2023-11-06T00:00:00+01:00;Paris;Zone C;2023-2024;Vacances
Vacances de Noel;;-;2021-12-18T00:00:00+01:00;2022-01-03T00:00:00+01:00;Paris;Zone C;2021-2022;Vacances
Vacances de Noel;;-;2022-12-17T00:00:00+01:00;2023-01-03T00:00:00+01:00;Paris;Zone C;2022-2023;Vacances
Vacances de Noel;;-;2023-12-23T00:00:00+01:00;2024-01-08T00:00:00+01:00;Paris;Zone C;2023-2024;Vacances
Vacances de Printemps;;-;2022-04-23T00:00:00+02:00;2022-05-09T00:00:00+02:00;Paris;Zone C;2021-2022;Vacances
Vacances de Printemps;;-;2023-04-22T00:00:00+02:00;2023-05-09T00:00:00+02:00;Paris;Zone C;2022-2023;Vacances
Vacances de Printemps;;-;2024-04-06T00:00:00+02:00;2024-04-22T00:00:00+02:00;Paris;Zone C;2023-2024;Vacances
Vacances d'Eté;;Eleves;2022-07-07T00:00:00+02:00;2022-09-01T00:00:00+02:00;Paris;Zone C;2021-2022;Vacances
Vacances d'Eté;;Eleves;2023-07-08T00:00:00+02:00;2023-09-04T00:00:00+02:00;Paris;Zone C;2022-2023;Vacances
Vacances d'Eté;;Eleves;2024-07-06T00:00:00+02:00;2024-09-02T00:00:00+02:00;Paris;Zone C;2023-2024;Vacances
Vacances d'Hiver;;-;2022-02-19T00:00:00+01:00;2022-03-07T00:00:00+01:00;Paris;Zone C;2021-2022;Vacances
Vacances d'Hiver;;-;2023-02-18T00:00:00+01:00;2023-03-06T00:00:00+01:00;Paris;Zone C;2022-2023;Vacances
Vacances d'Hiver;;-;2024-02-10T00:00:00+01:00;2024-02-26T00:00:00+01:00;Paris;Zone C;2023-2024;Vacances
