date;annee;zone;nom_jour_ferie
01/01/2022;2022;Metropole;1er janvier
18/04/2022;2022;Metropole;Lundi de Paques
01/05/2022;2022;Metropole;1er mai
08/05/2022;2022;Metropole;08-mai
26/05/2022;2022;Metropole;Ascension
06/06/2022;2022;Metropole;Lundi de Pentecote
14/07/2022;2022;Metropole;14-juil
15/08/2022;2022;Metropole;Assomption
01/11/2022;2022;Metropole;Toussaint
11/11/2022;2022;Metropole;11-nov
25/12/2022;2022;Metropole;Jour de Noel
01/01/2023;2023;Metropole;1er janvier
10/04/2023;2023;Metropole;Lundi de Paques
01/05/2023;2023;Metropole;1er mai
08/05/2023;2023;Metropole;08-mai
18/05/2023;2023;Metropole;Ascension
29/05/2023;2023;Metropole;Lundi de Pentecote
14/07/2023;2023;Metropole;14-juil
15/08/2023;2023;Metropole;Assomption
01/11/2023;2023;Metropole;Toussaint
11/11/2023;2023;Metropole;11-nov
25/12/2023;2023;Metropole;Jour de Noel
