,Results hors HYP,Results GridSearch,Results RandomizedSearch
train_score_rf,0.9587099,0.9306960,0.9595868
test_score_rf,0.7870742,0.7858468,0.7873973
mae_rf,0.1302827,0.1308203,0.1304631
train_score_gb,0.9767784,0.9587219,0.9919106
test_score_gb,0.7782238,0.7816236,0.3894946
mae_gb,0.1334197,0.1323168,0.1802962
train_score_lasso,0.0170674,0.8381301,0.8381301
test_score_lasso,-0.3724094,0.7680149,0.7680149
mae_lasso,0.3633550,0.1243095,0.1243095
train_score_ridge,0.9026081,0.9026081,0.9026081
test_score_ridge,0.7735305,0.7735305,0.7735305
mae_ridge,0.1280770,0.1280770,0.1280770
train_score_elasticnet,0.0572882,0.8670871,0.8670871
test_score_elasticnet,-0.3146181,0.8018471,0.8018471
mae_elasticnet,0.3399607,0.1203921,0.1203921
